#probability;time_branch;time_branch_0;time_branch_1;time_cmov
0.000000;0.709763;0.704701;1.058493;1.049154
0.050000;1.606257;1.270110;2.007454;1.047821
0.100000;2.169233;1.814316;2.562628;1.051585
0.150000;2.803197;2.304233;3.178352;1.047390
0.200000;3.183742;2.675514;3.572121;1.052826
0.250000;3.573048;3.097706;4.090201;1.052815
0.300000;4.125666;3.644333;4.412347;1.052922
0.350000;4.456741;4.060825;4.850014;1.047264
0.400000;4.743400;4.526835;5.039100;1.049132
0.450000;4.960444;4.775093;5.206546;1.045400
0.500000;4.904117;5.047121;5.128613;1.047091
0.550000;4.920840;4.951151;5.063185;1.044060
0.600000;4.467907;4.724663;4.702161;1.052837
0.650000;4.132439;4.653705;4.355566;1.052615
0.700000;3.916744;4.327635;4.141695;1.052857
0.750000;3.336252;3.912587;3.499333;1.052824
0.800000;2.740138;3.302039;2.934821;1.051483
0.850000;2.327301;2.827465;2.521229;1.048112
0.900000;1.835943;2.341618;2.042440;1.037769
0.950000;1.371231;1.996975;1.590074;1.052822
1.000000;0.706355;1.057357;1.054840;1.052839
